ad_id,ad_name,ad_description,number_of_bathrooms,number_of_bedrooms,number_of_beds,listing_type,average_price,number_rented,revenue,latitude,longitude
32137927,Casa de Praia com piscina.,"Casa com piscina Praia oferece piscina privativa e WiFi gratuito. A acomodação com ar-condicionado, composta por uma sala de estar com área para refeições, cozinha totalmente equipada e 3 banheiros. Além disso, uma TV de tela plana é oferecida. Na casa de férias os hóspedes podem usufruir de uma banheira de hidromassagem.",3.00,4.00,5.00,Espaço inteiro: casa,1800.00,316,568800.00,-27.16,-48.58
766788707373767791,Apartamento ao lado da Praia,"Sua família estará perto de tudo ao ficar neste apartamento bem-localizado e com muito conforto. A uma curta caminhada você encontrará supermercados, farmácias, padarias, restaurante e lojas e o melhor a 50 metros da praia.",3.00,3.00,4.00,Espaço inteiro: apartamento,1962.46,289,567150.00,-27.13,-48.60
37363818,"""CHÂTEAU DU MER"" - mansão provençal à beira mar","Mansão provençal à beira-mar, EM LOCAL ÚNICO E EXCLUSIVO, no Canto da Praia de Itapema, com piscina aquecida e jacuzzi. Churrasqueira com área social. Segurança e privacidade completas.  Lareira. Fácil acesso: 800 m da Br-101.  Praia para acesso dos stand-up paddle (2) e caiaque à disposição dos hóspedes.  Supermercado excelente a 1 km. Padaria:  300 m.  Farmácia: 600m. Peixarias, marina para aluguel de lanchas e jet-ski a 200 m.  Trapiche para acesso de barcos ao lado.",6.00,7.00,15.00,Espaço inteiro: casa,1607.61,352,565880.00,-27.09,-48.61
53558707,Altíssimo Padrão Quadra Mar  - Finamente Decorado,"Apartamento com fino acabamento e decoração, para pessoas exigentes. Ótima localização, a 1 quadra do mar. Super confortavel e aconchegante.",3.00,3.00,4.00,Espaço inteiro: apartamento,1569.72,360,565100.00,-27.10,-48.61
559203662802427966,Belíssimo apartamento de frente para o mar,"Sua família vai estar perto de tudo ao ficar neste lugar bem-localizado. O apto conta com duas suítes mais um dormitório e bwc, 3 camas de casal e mais 4 colchões de solteiro avulsos, todos os quartos com ar condicionado inclusive no living. Cozinha completa, lavanderia com máquina de lavar roupas, 02 vagas de garagem privativas, churrasqueira, bem mobiliado, tudo isso de frente para o mar.",3.00,3.00,3.00,Espaço inteiro: apartamento,1300.00,423,549900.00,-27.13,-48.60
16662563,(279) Monte Carlo: frente para o mar em Meia Praia,"Tenha a sensação de navegar, com essa sacada que fica praticamente “dentro do mar” em Meia Praia. Excelente apartamento, com 208 m², de frente para o mar. Cozinha, churrasqueira, 4 quartos, sendo duas suítes, 1 banheiro social, amplo living, 2 vagas de garagem. Toda a comodidade do calçadão de meia praia.  Checkin à partir das 14h e checkout até às 10h.  Desconto de R$ 50,00: DESEJA LEVAR SUAS PRÓPRIAS TOALHAS E LENÇÓIS? SOLICITE DESCONTO EM SUA ESTADIA.",3.00,4.00,7.00,Espaço inteiro: apartamento,1160.90,473,549108.00,-27.13,-48.60
51623204,Cobertura vista mar Itapema - 30 metros da praia,"Cobertura com muito espaço, 250 metros quadrados com vista para o mar e a 30 metros da praia. Sacada aberta e fechada  Quartos com vista para o mar ( todas  as camas de solteiro são bicamas)  Possui 2 vagas de garagem  Box na garagem para cadeiras de praias e guarda sol ( ficam a disposição 3 cadeiras de praia e um guarda sol)  Dois roteadores Wi-fi  Ar condicionado em todos os quartos  Máquina de lavar e secar, filtro de água, e todos os utensílios da cozinha  Geladeira extra para bebidas",3.00,4.00,8.00,Espaço inteiro: apartamento,1523.42,360,548430.00,-27.10,-48.61
20740151,"Apto novo, quadra mar, 4 suítes - Luxo Meia Praia!","04 Suítes, 03 Vagas em garagem privativa, Elevador, Cozinha, Ampla sala com sacada integrada, Área de serviço, Ampla sacada com churrasqueira, Área diferenciada com jacuzzi, Mobiliado, Utensílios domésticos, Quadra mar, Linda vista para o mar, Ar condicionado em todos os quartos e na sala, Smart TV",1.00,4.00,5.00,Espaço inteiro: apartamento,1500.00,362,543000.00,-27.13,-48.60
40191152,Apto novo vista mar em meia praia alto padrão,"Apto aconchegante com linda decoração com todos os itens de cozinha disponíveis , lençóis de ótima qualidade , primeira locação .",5.00,4.00,4.00,Espaço inteiro: apartamento,1304.04,406,529440.00,-27.14,-48.59
746302819456711882,Ap com churrasqueira a carvão e vista para o mar,"Viva momentos inesquecíveis neste lugar único e ideal para famílias.    A 700 metros do Mar e próximo a todas as convencias , restaurantes e muito mais!   3 quartos sendo 1 suite, 2 vagas privativas  de garagem  Churrasqueira a carvão para curtir a praia da melhor maneira !",2.00,3.00,3.00,Espaço inteiro: apartamento,1500.00,352,528000.00,-27.15,-48.59
